微信支付账单明细,,,,,,,,
微信昵称：[xxx],,,,,,,,
起始时间：[2023-12-04 00:00:00] 终止时间：[2023-12-20 12:53:40],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2023-12-20 12:53:55],,,,,,,,
,,,,,,,,
共37笔记录,,,,,,,,
收入：3笔 2016.50元,,,,,,,,
支出：34笔 1090.61元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2023-12-19 11:48:00,商户消费,缙云烧饼（xxx店）,"缙云烧饼（xxxx店）",支出,¥6.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-19 11:45:09,商户消费,十足,"xxxxxx店",支出,¥5.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-17 22:27:36,商户消费,滴滴出行,"特惠快车-胡师傅-12月17日行程",支出,¥8.91,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-17 20:00:43,商户消费,川味1号怀旧火锅xxx店,"川味1号怀旧火锅xxxx店-xxxx",支出,¥28.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-17 08:58:27,转账,李·xxxx,"转账备注:微信转账",支出,¥40.00,零钱,对方已收钱,xxxx	,xxxx	,"/"
2023-12-16 16:03:10,转账,xxx,"转账备注:生活费",收入,¥2000.00,/,已存入零钱,xxxx	,/	,"/"
2023-12-16 12:08:06,微信红包,某位xxxx,"/",收入,¥13.50,/,已存入零钱,xxxx	,xxxx	,"/"
2023-12-15 23:56:01,群收款,xxxx,"/",支出,¥50.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-14 22:20:08,商户消费,肯德基,"KFC_xxxx",支出,¥12.50,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-13 18:47:36,商户消费,罗森,"xxxx店",支出,¥13.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-13 17:46:46,商户消费,老鸭粉丝汤包（xxxx店）,"美团收银xxxxx",支出,¥22.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-13 17:04:17,其他,bilibili福利红包提现,"/",收入,¥3.00,/,已到账,xxxx	,xxxx	,"bilibili福利红包提现"
2023-12-12 20:16:40,商户消费,达美乐,"Dominosxxxx",支出,¥36.00,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-12 12:32:42,商户消费,LAWSON,"LAWSONxxx店消费",支出,¥30.30,零钱,支付成功,xxxx	,xxxx	,"/"
2023-12-07 17:52:42,商户消费,LAWSON,"LAWSONxxxx店消费",支出,¥29.30,零钱,支付成功,xxxx	,xxxx	,"/"
